id,order_id,order_date,shipping_date,shipping_mode,customer_id,customer_name,customer_type,city,prefectures,country,region,product_id,category,subcategory,product_name,sales,quantity,discount_rate,profit,,
1,JP-2021-103800,1/3/21,1/7/21,通常配送,DP-13000,谷奥 大地,消費者,福山市,広島県,日本,中国地方,OFF-PA-10000174,事務用品,紙,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",2467.2,2,0.2,832.68,,
2,JP-2021-112326,1/4/21,1/8/21,通常配送,PO-19195,飯沼 真,ホーム オフィス,三島市,静岡県,日本,中部地方,OFF-BI-10004094,事務用品,バインダー,GBC Standard Plastic Binding Systems Combs,531,2,0.8,-823.05,,
3,JP-2021-112326,1/4/21,1/8/21,通常配送,PO-19195,飯沼 真,ホーム オフィス,三島市,静岡県,日本,中部地方,OFF-LA-10003223,事務用品,ラベル,Avery 508,1767.6,3,0.2,640.755,,
4,JP-2021-112326,1/4/21,1/8/21,通常配送,PO-19195,飯沼 真,ホーム オフィス,三島市,静岡県,日本,中部地方,OFF-ST-10002743,事務用品,保管箱,SAFCO Boltless Steel Shelving,40910.4,3,0.2,-9716.22,,
5,JP-2021-141817,1/5/21,1/12/21,通常配送,MB-18085,笹淵 大輔,消費者,宇佐市,大分県,日本,九州,OFF-AR-10003478,事務用品,画材,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",2930.4,3,0.2,732.6,,
6,JP-2021-167199,1/6/21,1/10/21,通常配送,ME-17320,柿下 海斗,ホーム オフィス,猿島郡境町,茨城県,日本,関東地方,FUR-CH-10004063,家具,椅子,Global Deluxe High-Back Manager's Chair,386073,9,0,111961.17,,
7,JP-2021-167199,1/6/21,1/10/21,通常配送,ME-17320,柿下 海斗,ホーム オフィス,猿島郡境町,茨城県,日本,関東地方,OFF-AR-10001662,事務用品,画材,Rogers Handheld Barrel Pencil Sharpener,822,2,0,221.94,,
8,JP-2021-106054,1/6/21,1/7/21,ファースト クラス,JO-15145,吉家 桜,企業,平塚市,神奈川県,日本,関東地方,OFF-AR-10002399,事務用品,画材,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",1917,3,0,785.97,,
9,JP-2021-167199,1/6/21,1/10/21,通常配送,ME-17320,柿下 海斗,ホーム オフィス,猿島郡境町,茨城県,日本,関東地方,OFF-BI-10004632,事務用品,バインダー,Ibico Hi-Tech Manual Binding System,91497,2,0,41173.65,,
10,JP-2021-167199,1/6/21,1/10/21,通常配送,ME-17320,柿下 海斗,ホーム オフィス,猿島郡境町,茨城県,日本,関東地方,OFF-FA-10001883,事務用品,クリップ,"Alliance Super-Size Bands, Assorted Sizes",4668,4,0,46.6799999999999,,
11,JP-2021-167199,1/6/21,1/10/21,通常配送,ME-17320,柿下 海斗,ホーム オフィス,猿島郡境町,茨城県,日本,関東地方,OFF-PA-10000955,事務用品,紙,Southworth 25% Cotton Granite Paper & Envelopes,981,1,0,451.26,,
12,JP-2021-130813,1/6/21,1/8/21,セカンド クラス,LS-17230,五月女 美月,消費者,田川郡川崎町,福岡県,日本,九州,OFF-PA-10002005,事務用品,紙,Xerox 225,2916,3,0,1399.68,,
13,JP-2021-167199,1/6/21,1/10/21,通常配送,ME-17320,柿下 海斗,ホーム オフィス,猿島郡境町,茨城県,日本,関東地方,TEC-PH-10004539,テクノロジー,電話機,Wireless Extenders zBoost YX545 SOHO Signal Booster,113394,4,0,30616.38,,
14,JP-2021-167199,1/6/21,1/10/21,通常配送,ME-17320,柿下 海斗,ホーム オフィス,猿島郡境町,茨城県,日本,関東地方,TEC-PH-10004977,テクノロジー,電話機,GE 30524EE4,58797,2,0,17051.13,,
15,JP-2021-105417,1/7/21,1/12/21,通常配送,VS-21820,中津 茂,消費者,宇部市,山口県,日本,中国地方,FUR-FU-10004864,家具,家具,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",11509.2,3,0.6,-8056.44,,
16,JP-2021-105417,1/7/21,1/12/21,通常配送,VS-21820,中津 茂,消費者,宇部市,山口県,日本,中国地方,OFF-BI-10003708,事務用品,バインダー,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",1564.5,7,0.8,-2737.875,,
17,JP-2021-135405,1/9/21,1/13/21,通常配送,MS-17830,東條 麗華,消費者,大分市,大分県,日本,九州,OFF-AR-10004078,事務用品,画材,Newell 312,1401.6,2,0.2,175.2,,
18,JP-2021-135405,1/9/21,1/13/21,通常配送,MS-17830,東條 麗華,消費者,大分市,大分県,日本,九州,TEC-AC-10001266,テクノロジー,付属品,Memorex Micro Travel Drive 8 GB,4680,3,0.2,1462.5,,
